
🔍 Advanced Analysis: Parsing 802.15.4 + 6LoWPAN IPHC using Scapy...

WARNING: Please set conf.dot15d4_protocol to select a 802.15.4 protocol. Values must be in the list: ['sixlowpan', 'zigbee'] Defaulting to SixLoWPAN
WARNING: Please set conf.dot15d4_protocol to select a 802.15.4 protocol. Values must be in the list: ['sixlowpan', 'zigbee'] Defaulting to SixLoWPAN
WARNING: more Please set conf.dot15d4_protocol to select a 802.15.4 protocol. Values must be in the list: ['sixlowpan', 'zigbee'] Defaulting to SixLoWPAN
• Packet 132: Frame=70B, CompHeader=2B, Payload=53B, IPHC=TF=3 NH=1 HLIM=3 SAM=3 DAM=3
• Packet 133: Frame=70B, CompHeader=2B, Payload=53B, IPHC=TF=3 NH=1 HLIM=3 SAM=3 DAM=3
• Packet 134: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 135: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 136: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 137: Frame=72B, CompHeader=-4B, Payload=61B, IPHC=N/A
• Packet 138: Frame=80B, CompHeader=-4B, Payload=69B, IPHC=N/A
• Packet 139: Frame=52B, CompHeader=-4B, Payload=41B, IPHC=N/A
• Packet 140: Frame=34B, CompHeader=-4B, Payload=23B, IPHC=N/A
• Packet 141: Frame=71B, CompHeader=-4B, Payload=60B, IPHC=N/A
• Packet 142: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 143: Frame=71B, CompHeader=-4B, Payload=60B, IPHC=N/A
• Packet 144: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 145: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 146: Frame=81B, CompHeader=-4B, Payload=70B, IPHC=N/A
• Packet 147: Frame=52B, CompHeader=-4B, Payload=41B, IPHC=N/A
• Packet 148: Frame=70B, CompHeader=2B, Payload=53B, IPHC=TF=3 NH=1 HLIM=3 SAM=3 DAM=3
• Packet 149: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 150: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 151: Frame=80B, CompHeader=-4B, Payload=69B, IPHC=N/A
• Packet 152: Frame=52B, CompHeader=-4B, Payload=41B, IPHC=N/A
• Packet 153: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 154: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 155: Frame=80B, CompHeader=-4B, Payload=69B, IPHC=N/A
• Packet 156: Frame=52B, CompHeader=-4B, Payload=41B, IPHC=N/A
• Packet 157: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 158: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 159: Frame=80B, CompHeader=-4B, Payload=69B, IPHC=N/A
• Packet 160: Frame=52B, CompHeader=-4B, Payload=41B, IPHC=N/A
• Packet 161: Frame=42B, CompHeader=-4B, Payload=31B, IPHC=N/A
• Packet 162: Frame=39B, CompHeader=-4B, Payload=28B, IPHC=N/A
• Packet 163: Frame=38B, CompHeader=-4B, Payload=27B, IPHC=N/A
• Packet 164: Frame=39B, CompHeader=-4B, Payload=28B, IPHC=N/A
• Packet 165: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 166: Frame=78B, CompHeader=-4B, Payload=67B, IPHC=N/A
• Packet 167: Frame=80B, CompHeader=-4B, Payload=69B, IPHC=N/A
• Packet 168: Frame=34B, CompHeader=-4B, Payload=23B, IPHC=N/A
• Packet 169: Frame=81B, CompHeader=-4B, Payload=70B, IPHC=N/A
• Packet 170: Frame=53B, CompHeader=-4B, Payload=42B, IPHC=N/A
• Packet 171: Frame=53B, CompHeader=-4B, Payload=42B, IPHC=N/A
• Packet 172: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 173: Frame=71B, CompHeader=-4B, Payload=60B, IPHC=N/A
• Packet 174: Frame=71B, CompHeader=-4B, Payload=60B, IPHC=N/A
• Packet 175: Frame=42B, CompHeader=-4B, Payload=31B, IPHC=N/A
• Packet 176: Frame=39B, CompHeader=-4B, Payload=28B, IPHC=N/A
• Packet 177: Frame=38B, CompHeader=-4B, Payload=27B, IPHC=N/A
• Packet 178: Frame=39B, CompHeader=-4B, Payload=28B, IPHC=N/A
• Packet 179: Frame=70B, CompHeader=2B, Payload=53B, IPHC=TF=3 NH=1 HLIM=3 SAM=3 DAM=3
• Packet 180: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 181: Frame=78B, CompHeader=-4B, Payload=67B, IPHC=N/A
• Packet 182: Frame=80B, CompHeader=-4B, Payload=69B, IPHC=N/A
• Packet 183: Frame=81B, CompHeader=-4B, Payload=70B, IPHC=N/A
• Packet 184: Frame=53B, CompHeader=-4B, Payload=42B, IPHC=N/A
• Packet 185: Frame=34B, CompHeader=-4B, Payload=23B, IPHC=N/A
• Packet 186: Frame=53B, CompHeader=-4B, Payload=42B, IPHC=N/A
• Packet 187: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 188: Frame=71B, CompHeader=-4B, Payload=60B, IPHC=N/A
• Packet 189: Frame=71B, CompHeader=-4B, Payload=60B, IPHC=N/A
• Packet 190: Frame=42B, CompHeader=-4B, Payload=31B, IPHC=N/A
• Packet 191: Frame=39B, CompHeader=-4B, Payload=28B, IPHC=N/A
• Packet 192: Frame=38B, CompHeader=-4B, Payload=27B, IPHC=N/A
• Packet 193: Frame=39B, CompHeader=-4B, Payload=28B, IPHC=N/A
• Packet 194: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 195: Frame=78B, CompHeader=-4B, Payload=67B, IPHC=N/A
• Packet 196: Frame=80B, CompHeader=-4B, Payload=69B, IPHC=N/A
• Packet 197: Frame=34B, CompHeader=-4B, Payload=23B, IPHC=N/A
• Packet 198: Frame=81B, CompHeader=-4B, Payload=70B, IPHC=N/A
• Packet 199: Frame=53B, CompHeader=-4B, Payload=42B, IPHC=N/A
• Packet 200: Frame=53B, CompHeader=-4B, Payload=42B, IPHC=N/A
• Packet 201: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 202: Frame=71B, CompHeader=-4B, Payload=60B, IPHC=N/A
• Packet 203: Frame=71B, CompHeader=-4B, Payload=60B, IPHC=N/A
• Packet 204: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 205: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 206: Frame=80B, CompHeader=-4B, Payload=69B, IPHC=N/A
• Packet 207: Frame=52B, CompHeader=-4B, Payload=41B, IPHC=N/A
• Packet 208: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 209: Frame=36B, CompHeader=-4B, Payload=25B, IPHC=N/A
• Packet 210: Frame=80B, CompHeader=-4B, Payload=69B, IPHC=N/A
• Packet 211: Frame=52B, CompHeader=-4B, Payload=41B, IPHC=N/A
• Packet 212: Frame=42B, CompHeader=-4B, Payload=31B, IPHC=N/A
• Packet 213: Frame=39B, CompHeader=-4B, Payload=28B, IPHC=N/A
• Packet 214: Frame=38B, CompHeader=-4B, Payload=27B, IPHC=N/A
• Packet 215: Frame=39B, CompHeader=-4B, Payload=28B, IPHC=N/A
• Packet 216: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 217: Frame=78B, CompHeader=-4B, Payload=67B, IPHC=N/A
• Packet 218: Frame=81B, CompHeader=-4B, Payload=70B, IPHC=N/A
• Packet 219: Frame=34B, CompHeader=-4B, Payload=23B, IPHC=N/A
• Packet 220: Frame=82B, CompHeader=-4B, Payload=71B, IPHC=N/A
• Packet 221: Frame=53B, CompHeader=-4B, Payload=42B, IPHC=N/A
• Packet 222: Frame=53B, CompHeader=-4B, Payload=42B, IPHC=N/A
• Packet 223: Frame=71B, CompHeader=-4B, Payload=60B, IPHC=N/A
• Packet 224: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 225: Frame=71B, CompHeader=-4B, Payload=60B, IPHC=N/A
• Packet 226: Frame=42B, CompHeader=-4B, Payload=31B, IPHC=N/A
• Packet 227: Frame=39B, CompHeader=-4B, Payload=28B, IPHC=N/A
• Packet 228: Frame=38B, CompHeader=-4B, Payload=27B, IPHC=N/A
• Packet 229: Frame=39B, CompHeader=-4B, Payload=28B, IPHC=N/A
• Packet 230: Frame=68B, CompHeader=-4B, Payload=57B, IPHC=N/A
• Packet 231: Frame=78B, CompHeader=-4B, Payload=67B, IPHC=N/A
• Packet 232: Frame=80B, CompHeader=-4B, Payload=69B, IPHC=N/A
• Packet 233: Frame=34B, CompHeader=-4B, Payload=23B, IPHC=N/A
• Packet 234: Frame=81B, CompHeader=-4B, Payload=70B, IPHC=N/A
• Packet 235: Frame=53B, CompHeader=-4B, Payload=42B, IPHC=N/A
• Packet 236: Frame=53B, CompHeader=-4B, Payload=42B, IPHC=N/A
